datahora,latitude,longitude,frp,brightness,confidence,satellite,biome,state,month,hour,risk_score,risk_label
2024-08-08T06:52:00,-11.671426,-43.118788,26.16,393.7,88,TERRA_M-T,Caatinga,BA,8,6,0.3352,Médio
2024-12-27T07:14:00,-21.445307,-41.486499,71.87,280.0,33,GOES-16,Cerrado,MT,12,7,0.1009,Baixo
2024-11-11T08:55:00,-13.935914,-49.072895,103.74,359.94,38,TERRA_M-T,Mata Atlântica,MG,11,8,0.27,Médio
2024-07-21T16:25:00,-16.919963,-56.353047,161.94,335.95,98,GOES-16,Pantanal,MT,7,16,0.8991,Alto
2024-08-04T08:11:00,-7.279925,-49.292496,28.77,324.48,63,AQUA_M-T,Mata Atlântica,SC,8,8,0.0851,Baixo
2024-08-20T13:22:00,-28.073591,-50.79337,32.15,334.03,70,AQUA_M-T,Pampa,RS,8,13,0.0968,Baixo
2024-12-17T03:24:00,-11.116178,-34.005082,48.64,336.95,54,TERRA_M-D,Mata Atlântica,RS,12,3,0.1101,Baixo
2024-05-23T13:00:00,-8.215154,-36.706347,35.93,280.0,96,AQUA_M-T,Mata Atlântica,PR,5,13,0.0382,Baixo
2024-03-12T13:04:00,-7.582461,-41.418373,66.81,369.45,72,AQUA_M-D,Caatinga,MA,3,13,0.2361,Baixo
2024-10-22T03:46:00,-7.553632,-50.116893,48.17,396.46,68,GOES-16,Cerrado,SP,10,3,0.4655,Médio
2024-10-22T13:20:00,-20.319695,-59.453129,58.1,349.13,81,GOES-16,Cerrado,MA,10,13,0.2594,Médio
2024-01-05T06:26:00,-12.44443,-43.636285,25.9,280.0,78,TERRA_M-D,Caatinga,PB,1,6,0.033,Baixo
2024-08-19T09:25:00,-4.916826,-53.383146,91.85,419.44,100,TERRA_M-D,Cerrado,MG,8,9,0.5985,Médio
2024-12-10T06:27:00,-10.558266,-43.61509,9.54,339.19,71,GOES-16,Cerrado,GO,12,6,0.0734,Baixo
2024-08-15T21:13:00,-4.260803,-46.53912,23.92,383.8,95,TERRA_M-T,Amazônia,TO,8,21,0.2793,Médio
2024-03-22T02:18:00,-12.118253,-44.241367,8.22,280.0,95,AQUA_M-D,Caatinga,AL,3,2,0.033,Baixo
2024-09-27T07:43:00,1.209855,-60.203036,11.35,366.82,69,AQUA_M-T,Amazônia,RR,9,7,0.2793,Médio
2024-06-05T00:02:00,-9.489142,-68.438753,11.69,280.0,61,AQUA_M-D,Amazônia,AC,6,0,0.0591,Baixo
2024-01-28T02:29:00,-12.931655,-46.882498,96.39,329.47,83,TERRA_M-D,Cerrado,PI,1,2,0.2293,Baixo
2024-11-16T12:15:00,-14.018892,-36.264214,3.78,386.82,48,TERRA_M-T,Caatinga,RN,11,12,0.1851,Baixo
2024-07-25T13:14:00,-12.785748,-42.906507,39.76,305.88,52,AQUA_M-T,Caatinga,BA,7,13,0.0622,Baixo
2024-10-02T17:15:00,-10.573036,-40.374653,2.24,386.83,45,TERRA_M-T,Caatinga,MA,10,17,0.2334,Baixo
2024-03-26T14:42:00,-18.418258,-56.637603,35.59,285.66,97,AQUA_M-D,Pantanal,MT,3,14,0.062,Baixo
2024-07-11T14:39:00,-18.15059,-54.884379,1.22,281.63,94,TERRA_M-D,Cerrado,MA,7,14,0.0692,Baixo
2024-08-15T05:47:00,-8.502973,-48.955763,68.2,304.01,90,TERRA_M-D,Amazônia,MT,8,5,0.2048,Baixo
2024-08-25T07:53:00,-18.034272,-50.435435,53.04,315.77,65,GOES-16,Mata Atlântica,BA,8,7,0.117,Baixo
2024-09-21T07:17:00,-6.452801,-63.196778,50.75,427.01,86,TERRA_M-T,Amazônia,MA,9,7,0.6517,Médio
2024-05-08T08:21:00,-3.269695,-48.490278,6.44,314.8,70,GOES-16,Cerrado,DF,5,8,0.0367,Baixo
2024-04-05T04:14:00,-7.667912,-65.30243,136.25,305.57,79,AQUA_M-T,Amazônia,MA,4,4,0.2697,Médio
2024-12-03T13:26:00,-3.443608,-61.919286,7.13,361.46,72,AQUA_M-D,Amazônia,RO,12,13,0.2504,Médio
2024-04-02T06:53:00,-11.024414,-47.357749,66.27,335.33,83,TERRA_M-T,Mata Atlântica,BA,4,6,0.1101,Baixo
2024-06-23T00:54:00,-18.10266,-56.499356,88.05,308.95,78,TERRA_M-D,Pantanal,MT,6,0,0.288,Médio
2024-03-12T09:48:00,-12.847792,-55.394215,56.59,284.89,79,AQUA_M-T,Cerrado,PI,3,9,0.1009,Baixo
2024-08-24T23:34:00,-2.734522,-68.832207,45.63,331.83,58,TERRA_M-D,Amazônia,MT,8,23,0.2793,Médio
2024-07-09T13:31:00,-9.207813,-46.271074,99.6,317.59,33,AQUA_M-D,Amazônia,TO,7,13,0.5083,Médio
2024-08-22T21:51:00,-1.481216,-52.473848,38.27,280.0,81,GOES-16,Amazônia,MT,8,21,0.0745,Baixo
2024-03-05T19:34:00,-16.185664,-55.122406,78.75,283.21,33,TERRA_M-T,Pantanal,MS,3,19,0.1443,Baixo
2024-10-19T21:01:00,-20.731369,-58.267263,51.27,333.41,40,TERRA_M-D,Pantanal,MT,10,21,0.2594,Médio
2024-04-28T14:11:00,-24.564199,-49.054193,101.11,346.26,36,AQUA_M-D,Mata Atlântica,RS,4,14,0.2385,Baixo
2024-11-11T06:29:00,-8.723215,-41.411695,29.9,326.24,71,TERRA_M-T,Caatinga,PB,11,6,0.076,Baixo
2024-10-09T13:16:00,-13.746404,-54.27382,41.92,411.56,40,TERRA_M-T,Cerrado,MT,10,13,0.6052,Médio
2024-08-24T17:03:00,1.244682,-62.634937,142.17,291.34,74,AQUA_M-T,Amazônia,TO,8,17,0.5083,Médio
2024-04-25T20:02:00,-17.606044,-57.32783,94.8,355.78,33,AQUA_M-T,Pantanal,MS,4,20,0.3816,Médio
2024-10-27T00:39:00,-8.598467,-36.061074,9.87,280.0,49,AQUA_M-D,Caatinga,RN,10,0,0.0479,Baixo
2024-10-16T21:07:00,-14.597611,-39.301103,125.62,295.06,57,AQUA_M-D,Caatinga,RN,10,21,0.2514,Médio
2024-10-25T11:10:00,0.265716,-70.012943,8.18,410.78,44,GOES-16,Amazônia,TO,10,11,0.5735,Médio
2024-09-04T18:01:00,-7.134358,-53.499181,61.49,315.54,69,GOES-16,Amazônia,RO,9,18,0.2253,Baixo
2024-07-23T06:04:00,-8.487307,-42.482009,12.02,349.38,61,TERRA_M-T,Caatinga,SE,7,6,0.0958,Baixo
2024-04-28T21:38:00,-13.759884,-42.001617,52.95,385.96,45,GOES-16,Cerrado,DF,4,21,0.2018,Baixo
2024-11-12T17:27:00,-10.770915,-59.655907,161.4,438.02,77,AQUA_M-T,Cerrado,SP,11,17,0.8228,Alto
2024-08-21T10:00:00,-17.04933,-57.966113,55.99,372.47,83,TERRA_M-D,Pantanal,MS,8,10,0.4184,Médio
2024-11-14T11:40:00,-8.271115,-42.247027,35.96,479.63,88,AQUA_M-T,Cerrado,PI,11,11,0.499,Médio
2024-10-06T23:33:00,-21.904767,-53.631252,0.5,368.82,64,TERRA_M-T,Cerrado,MG,10,23,0.1995,Baixo
2024-11-15T13:52:00,-5.022891,-58.490319,25.51,409.86,64,TERRA_M-T,Amazônia,MA,11,13,0.5376,Médio
2024-04-27T02:17:00,-18.507904,-51.403649,11.64,294.98,87,AQUA_M-D,Cerrado,MT,4,2,0.0367,Baixo
2024-07-19T19:42:00,-14.621491,-42.617928,52.13,284.05,78,TERRA_M-T,Cerrado,BA,7,19,0.1609,Baixo
2024-03-16T10:11:00,-32.789093,-54.183007,346.08,368.42,92,AQUA_M-T,Pampa,RS,3,10,0.4379,Médio
2024-10-26T08:21:00,-11.0923,-58.725547,14.14,333.68,65,GOES-16,Cerrado,BA,10,8,0.1064,Baixo
2024-08-01T16:12:00,-9.543129,-60.254192,4.08,348.53,40,TERRA_M-D,Amazônia,AP,8,16,0.1937,Baixo
2024-07-16T17:48:00,-19.027646,-42.560975,30.73,280.0,60,TERRA_M-T,Mata Atlântica,MG,7,17,0.0553,Baixo
2024-07-15T00:05:00,0.77232,-47.454883,18.94,351.2,67,TERRA_M-T,Amazônia,TO,7,0,0.2793,Médio
2024-04-23T07:19:00,-10.09519,-44.746136,75.52,335.09,77,TERRA_M-T,Caatinga,RN,4,7,0.1238,Baixo
2024-01-17T11:27:00,-7.111565,-54.858896,6.6,341.65,100,TERRA_M-D,Amazônia,TO,1,11,0.113,Baixo
2024-05-23T14:17:00,-25.072017,-40.25057,6.28,384.76,69,GOES-16,Mata Atlântica,SC,5,14,0.1431,Baixo
2024-09-04T23:12:00,-10.735163,-44.850696,13.76,288.28,70,AQUA_M-D,Mata Atlântica,PR,9,23,0.0426,Baixo
2024-03-25T22:11:00,1.204198,-72.648948,13.98,280.0,54,TERRA_M-D,Amazônia,PA,3,22,0.0514,Baixo
2024-06-09T23:37:00,-16.277895,-57.303639,28.65,437.06,97,TERRA_M-T,Pantanal,MS,6,23,0.384,Médio
2024-07-04T06:18:00,-17.638727,-48.141171,48.18,280.0,59,GOES-16,Cerrado,SP,7,6,0.1463,Baixo
2024-11-10T00:45:00,-16.654759,-58.009604,40.1,310.03,98,AQUA_M-D,Pantanal,MT,11,0,0.1508,Baixo
2024-01-02T01:35:00,-16.401013,-57.011753,18.77,458.54,67,GOES-16,Pantanal,MS,1,1,0.5128,Médio
2024-12-04T00:36:00,-8.258049,-50.456884,44.75,376.97,66,TERRA_M-T,Amazônia,RO,12,0,0.2825,Médio
2024-11-15T10:11:00,-6.596158,-72.503452,7.52,280.0,36,TERRA_M-T,Amazônia,TO,11,10,0.065,Baixo
2024-05-04T02:25:00,-9.971592,-44.234906,0.66,370.35,92,TERRA_M-T,Cerrado,MS,5,2,0.1376,Baixo
2024-08-21T21:03:00,1.250233,-49.404968,55.06,284.79,49,TERRA_M-D,Amazônia,PA,8,21,0.2048,Baixo
2024-08-10T02:15:00,-19.068606,-57.159015,2.89,368.07,45,TERRA_M-D,Pantanal,MS,8,2,0.2594,Médio
2024-09-20T19:50:00,-0.77458,-70.764436,16.89,280.0,58,TERRA_M-T,Amazônia,MA,9,19,0.0819,Baixo
2024-08-15T14:19:00,-8.619082,-54.354687,38.78,296.09,84,TERRA_M-T,Cerrado,MA,8,14,0.0692,Baixo
2024-05-20T01:39:00,-3.758043,-37.674279,1.9,373.42,42,TERRA_M-D,Caatinga,PB,5,1,0.1238,Baixo
2024-07-09T21:05:00,-3.795422,-56.885243,88.42,280.0,50,AQUA_M-D,Amazônia,AC,7,21,0.391,Médio
2024-08-18T02:10:00,-9.060778,-53.338904,69.96,280.0,30,AQUA_M-D,Amazônia,AC,8,2,0.2048,Baixo
2024-06-23T19:30:00,-11.412851,-39.495464,53.53,317.98,67,TERRA_M-T,Mata Atlântica,RS,6,19,0.1021,Baixo
2024-04-10T22:18:00,-21.168359,-42.571042,180.03,280.0,88,AQUA_M-D,Cerrado,GO,4,22,0.3302,Médio
2024-10-09T20:37:00,-5.541083,-46.087727,64.51,327.56,55,AQUA_M-D,Cerrado,DF,10,20,0.1995,Baixo
2024-08-18T07:41:00,-4.809652,-42.50332,15.0,385.02,49,AQUA_M-T,Caatinga,SE,8,7,0.1796,Baixo
2024-11-03T01:10:00,-1.282247,-64.971577,212.55,347.36,69,AQUA_M-D,Amazônia,AP,11,1,0.5907,Médio
2024-10-04T14:44:00,-18.6805,-55.482851,23.06,280.0,68,TERRA_M-T,Pantanal,MT,10,14,0.0899,Baixo
2024-07-17T17:31:00,-9.038085,-54.200203,77.41,367.56,86,GOES-16,Amazônia,MT,7,17,0.5326,Médio
2024-10-02T13:47:00,-6.058871,-58.433735,23.03,387.73,71,TERRA_M-D,Amazônia,PA,10,13,0.3631,Médio
2024-11-03T07:43:00,-12.204486,-44.755992,1.29,355.57,32,AQUA_M-T,Caatinga,PB,11,7,0.1424,Baixo
2024-10-02T05:30:00,-18.29744,-55.213263,370.93,407.27,96,TERRA_M-D,Pantanal,MT,10,5,1.0,Alto
2024-11-06T18:27:00,-13.402488,-48.077396,248.42,302.41,92,GOES-16,Cerrado,PI,11,18,0.4177,Médio
2024-09-12T13:21:00,-19.809131,-44.415574,16.37,323.48,71,TERRA_M-T,Mata Atlântica,RJ,9,13,0.1107,Baixo
2024-02-11T13:44:00,-6.296148,-66.692591,1.08,295.74,93,AQUA_M-D,Amazônia,PA,2,13,0.0668,Baixo
2024-09-27T17:02:00,-30.891143,-54.425387,14.77,330.89,88,TERRA_M-T,Pampa,RS,9,17,0.0968,Baixo
2024-09-09T10:07:00,-15.386876,-56.864095,10.97,294.59,81,GOES-16,Pantanal,MS,9,10,0.0761,Baixo
2024-09-15T13:03:00,-32.224632,-49.958146,56.15,280.0,54,TERRA_M-D,Pampa,RS,9,13,0.1331,Baixo
2024-10-20T15:40:00,-7.243922,-67.966167,25.86,344.07,86,GOES-16,Amazônia,MA,10,15,0.1937,Baixo
2024-11-09T17:08:00,2.113783,-49.137781,316.8,319.46,66,AQUA_M-D,Amazônia,AM,11,17,0.9791,Alto
2024-10-04T00:40:00,-13.687546,-49.229874,15.25,280.0,60,TERRA_M-T,Mata Atlântica,BA,10,0,0.0426,Baixo
2024-08-18T00:35:00,-3.28782,-56.990622,5.76,320.06,82,GOES-16,Amazônia,RO,8,0,0.149,Baixo
2024-11-27T03:29:00,1.109351,-47.19741,99.49,372.11,45,AQUA_M-D,Amazônia,PA,11,3,0.4726,Médio
2024-07-23T09:32:00,-8.389712,-44.130132,27.98,388.63,64,TERRA_M-T,Caatinga,PE,7,9,0.1796,Baixo
2024-09-16T07:29:00,-21.379076,-55.816519,4.75,287.71,100,TERRA_M-T,Cerrado,TO,9,7,0.0532,Baixo
2024-08-07T19:32:00,-18.106776,-43.349442,104.47,412.81,47,TERRA_M-T,Mata Atlântica,ES,8,19,0.5267,Médio
2024-10-25T13:21:00,-17.659435,-43.30603,64.46,280.0,94,GOES-16,Cerrado,DF,10,13,0.1902,Baixo
2024-10-10T23:19:00,-9.919528,-39.249466,71.73,395.47,92,AQUA_M-T,Mata Atlântica,PR,10,23,0.3724,Médio
2024-11-18T15:22:00,-25.510688,-36.144326,1.78,424.24,72,TERRA_M-T,Mata Atlântica,ES,11,15,0.3072,Médio
2024-10-11T06:44:00,-26.164863,-45.967861,10.52,363.0,60,TERRA_M-T,Mata Atlântica,RS,10,6,0.1596,Baixo
2024-09-08T13:02:00,-22.872283,-54.546275,238.39,362.02,70,TERRA_M-T,Cerrado,SP,9,13,0.8127,Alto
2024-08-13T21:50:00,-11.882357,-38.659943,90.81,354.66,49,TERRA_M-T,Caatinga,AL,8,21,0.3831,Médio
2024-09-05T16:37:00,-3.74016,-53.504429,161.32,317.92,72,AQUA_M-T,Cerrado,PI,9,16,0.6225,Médio
2024-02-04T16:58:00,1.715356,-54.427085,21.48,320.04,88,TERRA_M-T,Amazônia,PA,2,16,0.1336,Baixo
2024-02-14T20:09:00,-16.082339,-48.202605,123.13,349.61,39,AQUA_M-D,Cerrado,GO,2,20,0.2293,Baixo
2024-04-11T19:44:00,-27.211631,-51.502785,85.19,332.79,80,GOES-16,Pampa,RS,4,19,0.1766,Baixo
2024-06-28T21:54:00,-13.967502,-43.973751,351.09,280.0,98,GOES-16,Mata Atlântica,RJ,6,21,0.4304,Médio
2024-10-21T22:56:00,-13.97226,-56.891147,70.99,401.7,92,GOES-16,Cerrado,TO,10,22,0.4655,Médio
2024-07-20T02:15:00,1.885795,-68.921437,172.53,412.08,66,AQUA_M-T,Amazônia,MA,7,2,1.0,Alto
2024-06-14T03:48:00,-10.229481,-52.445706,248.03,389.38,42,AQUA_M-T,Cerrado,BA,6,3,0.4958,Médio
2024-09-23T09:57:00,-7.336191,-72.15938,27.58,328.64,33,AQUA_M-D,Amazônia,TO,9,9,0.149,Baixo
2024-05-26T01:18:00,-18.589382,-34.572518,121.78,378.92,75,GOES-16,Mata Atlântica,SP,5,1,0.2348,Baixo
2024-04-05T07:33:00,-12.257472,-40.728034,1.98,379.74,82,TERRA_M-T,Mata Atlântica,SC,4,7,0.1101,Baixo
2024-08-06T02:39:00,-17.683448,-55.712119,7.49,360.62,78,AQUA_M-D,Pantanal,MS,8,2,0.2594,Médio
2024-02-16T18:09:00,-18.989505,-50.659704,52.33,298.34,59,AQUA_M-D,Cerrado,SP,2,18,0.111,Baixo
2024-08-15T08:42:00,-0.030511,-64.620227,0.7,330.48,31,GOES-16,Amazônia,TO,8,8,0.149,Baixo
2024-09-22T17:10:00,-10.999589,-54.458411,118.02,302.15,39,GOES-16,Cerrado,PI,9,17,0.3631,Médio
2024-03-19T09:40:00,-28.128386,-43.350875,16.63,472.11,84,GOES-16,Mata Atlântica,BA,3,9,0.3155,Médio
2024-07-28T09:12:00,-8.284216,-44.902292,43.75,338.76,79,TERRA_M-T,Caatinga,PB,7,9,0.1796,Baixo
2024-02-08T12:36:00,-5.617163,-72.103516,30.34,350.75,75,AQUA_M-T,Amazônia,TO,2,12,0.2504,Médio
2024-04-01T21:25:00,-5.39296,-42.998498,6.63,281.56,65,GOES-16,Caatinga,PB,4,21,0.033,Baixo
2024-12-28T21:49:00,-6.522291,-44.684139,3.2,439.66,36,TERRA_M-D,Caatinga,BA,12,21,0.2312,Baixo
2024-07-25T07:38:00,-17.001391,-55.693952,101.19,359.69,75,GOES-16,Pantanal,MT,7,7,0.5533,Médio
2024-10-20T08:43:00,1.185208,-58.215006,36.12,362.07,47,AQUA_M-D,Amazônia,AC,10,8,0.2793,Médio
2024-05-10T14:02:00,-14.02044,-44.396479,10.43,460.04,76,AQUA_M-T,Caatinga,CE,5,14,0.4615,Médio
